District,Total votes,EVM votes,Postal votes,Winner,votes of winner,Winner votes %,winning party
Uttar Pradesh-Saharanpur,1231746,1228915,2831,HAJI FAZLUR REHMAN,514139,41.74,Bahujan Samaj Party
Uttar Pradesh-Kairana,1124047,1120863,3184,Pradeep Kumar,566961,50.44,Bharatiya Janata Party
Uttar Pradesh-Muzaffarnagar,1160071,1154192,5879,Sanjeev Kumar Balyan,573780,49.46,Bharatiya Janata Party
Uttar Pradesh-Bijnor,1100763,1096313,4450,Sanjeev Kumar Balyan,573780,49.46,Bharatiya Janata Party
Uttar Pradesh-Nagina,1009456,1005955,3501,Sanjeev Kumar Balyan,573780,49.46,Bharatiya Janata Party
Uttar Pradesh-Moradabad,1282206,1279669,2537,Dr. S.T. HASAN,649416,50.65,Samajwadi Party
Uttar Pradesh-Rampur,1060921,1060161,760,Dr. S.T. HASAN,649416,50.65,Samajwadi Party
Uttar Pradesh-Sambhal,1183469,1182209,1260,DR. SHAFIQUR REHMAN BARQ,658006,55.6,Samajwadi Party
Uttar Pradesh-Amroha,1169182,1167308,1874,DR. SHAFIQUR REHMAN BARQ,658006,55.6,Samajwadi Party
Uttar Pradesh-Meerut,1216413,1212076,4337,DR. SHAFIQUR REHMAN BARQ,658006,55.6,Samajwadi Party
Uttar Pradesh-Baghpat,1044894,1037061,7833,DR. SHAFIQUR REHMAN BARQ,658006,55.6,Samajwadi Party
Uttar Pradesh-Ghaziabad,1524456,1521892,2564,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Gautam Buddha Nagar,1392952,1389655,3297,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Bulandshahr,1123629,1118442,5187,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Aligarh,1163184,1156030,7154,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Hathras,1150294,1144035,6259,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Mathura,1102731,1098112,4619,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Agra,1145323,1141455,3868,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Fatehpur Sikri,1037151,1031004,6147,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Firozabad,1075866,1072480,3386,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Mainpuri,976518,972697,3821,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Etah,999607,997853,1754,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Badaun,1081111,1079101,2010,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Aonla,1052795,1050493,2302,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Bareilly,1068342,1065768,2574,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Pilibhit,1186589,1182890,3699,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Shahjahanpur,1186157,1179974,6183,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Kheri,1136660,1136203,457,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Dhaurahra,1063840,1063178,662,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Sitapur,1064521,1063378,1143,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Hardoi,1057558,1055392,2166,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Misrikh,1026668,1025063,1605,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Unnao,1237076,1235546,1530,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Mohanlalganj,1269594,1263936,5658,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Lucknow,1116445,1107100,9345,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
